mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_small-16
mig,0.1,2.4144649505615234,2.324819564819336
mig,0.2,2.417325973510742,2.325773239135742
mig,0.3,2.411365509033203,2.3300647735595703
mig,0.4,2.4156570434570312,2.2819042205810547
mig,0.5,2.414703369140625,2.3698806762695312
mig,0.6,2.4144649505615234,2.284526824951172
mig,0.7,2.4127960205078125,2.285003662109375
mig,0.8,2.4116039276123047,2.2940635681152344
mig,0.9,2.4106502532958984,2.2575855255126953
mig,1.0,2.405881881713867,2.312898635864258
