mode,load,0_mobilenet_v2-8,1_resnet50-4,2_squeezenet1_0-16
mps-uncap,0.8,30.207543373107892,33.05824756622312,44.26296710968005
mps-uncap,0.9,51.86313867568971,47.0407009124756,60.33324718475348
mps-uncap,1.0,803.1534671783447,387.3950099945069,141.39818191528323
mps-uncap,0.5,15.168471336364712,15.532352924346926,8.795413970947235
mps-uncap,0.6,13.91114234924319,15.63831329345705,11.300516128540032
mps-uncap,0.7,14.401509761810294,18.89030456542969,17.818260192871108
mps-uncap,0.1,5.555391311645508,6.3842010498046875,2.9016351699829097
mps-uncap,0.2,8.597373962402344,7.4182629585266,3.542337417602519
mps-uncap,0.3,12.615509033203125,10.746250152587875,4.724881649017321
mps-uncap,0.4,14.039618968963623,14.363408088684011,6.512341499328617
