mode,load,0_mobilenet_v2-8,1_resnet50-4,2_squeezenet1_0-16
mps-uncap,0.8,2.238750457763672,2.742290496826172,2.9573440551757812
mps-uncap,0.9,2.177000045776367,2.7701854705810547,2.9489994049072266
mps-uncap,1.0,2.151966094970703,2.793550491333008,3.004789352416992
mps-uncap,0.5,2.1784305572509766,2.7921199798583984,2.9511451721191406
mps-uncap,0.6,2.190113067626953,2.7358531951904297,2.9478073120117188
mps-uncap,0.7,2.223968505859375,2.778291702270508,2.9489994049072266
mps-uncap,0.1,2.251148223876953,2.8307437896728516,2.9630661010742188
mps-uncap,0.2,2.2263526916503906,2.7763843536376953,2.949953079223633
mps-uncap,0.3,2.181529998779297,2.796649932861328,2.9447078704833984
mps-uncap,0.4,2.1753311157226562,2.9082298278808594,2.9616355895996094
