mode,load,0_mobilenet_v2-8,1_resnet50-4,2_squeezenet1_0-16
mps-uncap,0.8,5.222320556640625,8.05354118347168,6.502389907836914
mps-uncap,0.9,9.359955787658691,10.109424591064453,9.449958801269531
mps-uncap,1.0,482.1016788482666,63.710689544677734,25.348424911499023
mps-uncap,0.5,5.767703056335449,7.328152656555176,3.847837448120117
mps-uncap,0.6,5.170583724975586,7.205724716186523,4.1266679763793945
mps-uncap,0.7,4.841923713684082,7.056713104248047,4.489541053771973
mps-uncap,0.1,5.879521369934082,6.929636001586914,3.1076669692993164
mps-uncap,0.2,5.819082260131836,6.759166717529297,3.1211376190185547
mps-uncap,0.3,5.811452865600586,6.895542144775391,3.4471750259399414
mps-uncap,0.4,5.846142768859863,7.415890693664551,3.7109851837158203
