mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,5.068063735961914,17.01807975769043,6.40416145324707
mig,0.6,9.459257125854492,18.797874450683594,22.118330001831055
mps-uncap,0.7,5.118608474731445,17.479419708251953,6.477832794189453
mig,0.7,9.451866149902344,18.801212310791016,22.121667861938477
mps-uncap,0.8,5.088567733764648,17.253398895263672,6.48808479309082
mig,0.8,9.450435638427734,18.77117156982422,22.086620330810547
mps-uncap,0.9,5.873680114746094,17.172813415527344,6.90007209777832
mig,0.9,9.455680847167969,18.782854080200195,22.066116333007812
mps-uncap,1.0,5.848407745361328,17.022132873535156,6.876468658447266
mig,1.0,9.55963134765625,18.832921981811523,22.159576416015625
mps-uncap,1.1,5.853414535522461,17.488479614257812,8.102893829345703
mig,1.1,9.623527526855469,18.85509490966797,22.17841148376465
mps-uncap,1.2,5.967140197753906,17.365217208862305,8.098363876342773
mig,1.2,9.607076644897461,18.873214721679688,22.185802459716797
mps-uncap,1.3,6.078243255615234,17.573833465576172,7.252693176269531
mig,1.3,9.564399719238281,18.89824867248535,22.237300872802734
