mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,17.369859218597426,34.24735069274904,12.396445274353031
mig,0.6,14.05585289001465,20.727252960205078,24.078631401062005
mps-uncap,0.7,17.41789817810058,36.8600082397461,12.412886619567868
mig,0.7,14.022989273071289,20.60638904571533,24.16499614715576
mps-uncap,0.8,17.752933502197266,38.807713985443094,12.36228942871093
mig,0.8,13.813233375549318,20.597636699676514,24.06764030456543
mps-uncap,0.9,17.960126399993896,42.36387252807618,12.422800064086909
mig,0.9,13.82942199707031,20.566682815551758,24.334354400634766
mps-uncap,1.0,18.22021007537842,44.15534019470214,12.587120532989502
mig,1.0,13.934929370880123,20.74523687362671,24.371087551116943
mps-uncap,1.1,18.38985681533813,46.112298965454094,12.648148536682129
mig,1.1,13.9075756072998,20.76781272888183,24.386224746704098
mps-uncap,1.2,18.62980604171753,46.97486162185669,12.686853408813473
mig,1.2,13.916563987731934,20.762281417846676,24.61313247680664
mps-uncap,1.3,18.949186801910407,47.081055641174316,12.416336536407472
mig,1.3,14.003992080688475,20.798792839050293,24.577350616455078
