mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,0.032901763916015625,7.549285888671875,0.024080276489257812
mig,0.6,4.2572021484375,3.9255619049072266,9.067773818969727
mps-uncap,0.7,2.1637678146362305,19.77062225341797,0.018358230590820312
mig,0.7,8.361339569091797,14.521479606628418,17.851829528808594
mps-uncap,0.8,5.282402038574219,52.85966396331787,0.018596649169921875
mig,0.8,12.59911060333252,19.89459991455078,28.58138084411621
mps-uncap,0.9,11.567831039428711,1717.9639339447021,0.017881393432617188
mig,0.9,25.919198989868164,47.2564697265625,60.11319160461426
mps-uncap,1.0,29.20520305633545,7058.722257614136,0.018596649169921875
mig,1.0,670.0232028961182,985.0286245346069,1336.990237236023
mps-uncap,1.1,809.7680807113647,14209.529876708984,0.019788742065429688
mig,1.1,4592.858076095581,3495.0990676879883,2922.79052734375
mps-uncap,1.2,6714.129328727722,19081.32839202881,0.3666877746582031
mig,1.2,7802.348375320435,6951.45583152771,9266.764760017395
mps-uncap,1.3,9724.578022956848,21456.77387714386,2.1970272064208984
mig,1.3,10546.117663383484,11704.810619354248,10440.999150276184
