mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,69.05078887939453,144.85597610473633,35.82334518432617
mig,0.6,101.91059112548828,132.7073574066162,197.57747650146484
mps-uncap,0.7,91.37320518493652,316.5459632873535,35.874366760253906
mig,0.7,113.14535140991211,191.8344497680664,220.05629539489746
mps-uncap,0.8,106.9173812866211,333.0690860748291,42.63043403625488
mig,0.8,159.8811149597168,244.6768283843994,288.92993927001953
mps-uncap,0.9,144.09661293029785,5062.397241592407,54.27074432373047
mig,0.9,304.8214912414551,350.54850578308105,506.27756118774414
mps-uncap,1.0,267.5173282623291,15709.744930267334,53.1613826751709
mig,1.0,1318.2227611541748,2581.284284591675,1975.1386642456055
mps-uncap,1.1,1663.7330055236816,29607.66100883484,57.85799026489258
mig,1.1,9808.165311813354,7461.855888366699,6969.04730796814
mps-uncap,1.2,13156.651735305786,37304.99863624573,76.56502723693848
mig,1.2,15985.810279846191,13749.28617477417,16422.400951385498
mps-uncap,1.3,18553.471088409424,41508.007764816284,63.41242790222168
mig,1.3,21680.974006652832,23033.46085548401,21518.945932388306
