mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,0.0133514404296875,0.015020370483398438,0.013113021850585938
mig,0.6,0.013828277587890625,0.015020370483398438,0.013828277587890625
mps-uncap,0.7,0.011920928955078125,0.014543533325195312,0.0133514404296875
mig,0.7,0.011920928955078125,0.01430511474609375,0.0133514404296875
mps-uncap,0.8,0.011682510375976562,0.0152587890625,0.013113021850585938
mig,0.8,0.011682510375976562,0.01239776611328125,0.0133514404296875
mps-uncap,0.9,0.011920928955078125,0.015497207641601562,0.011444091796875
mig,0.9,0.01430511474609375,0.014543533325195312,0.013113021850585938
mps-uncap,1.0,0.011920928955078125,0.01621246337890625,0.012874603271484375
mig,1.0,0.014066696166992188,0.015497207641601562,0.01430511474609375
mps-uncap,1.1,0.0152587890625,0.016927719116210938,0.013113021850585938
mig,1.1,0.018835067749023438,0.014066696166992188,0.017404556274414062
mps-uncap,1.2,0.018596649169921875,0.018358230590820312,0.010967254638671875
mig,1.2,0.014543533325195312,0.017881393432617188,0.01430511474609375
mps-uncap,1.3,0.01621246337890625,0.022172927856445312,0.011682510375976562
mig,1.3,0.018596649169921875,0.0209808349609375,0.019073486328125
