mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,6.895780563354492,18.90552043914795,8.35561752319336
mig,0.6,9.96088981628418,18.97561550140381,22.299766540527344
mps-uncap,0.7,7.044434547424316,19.557714462280273,8.787155151367188
mig,0.7,9.975790977478027,18.986105918884277,22.310972213745117
mps-uncap,0.8,7.172346115112305,19.68073844909668,9.180665016174316
mig,0.8,10.002493858337402,19.028306007385254,22.327423095703125
mps-uncap,0.9,7.376551628112793,20.513296127319336,9.465694427490234
mig,0.9,10.0555419921875,19.120335578918457,22.423386573791504
mps-uncap,1.0,7.460117340087891,22.510051727294922,9.602785110473633
mig,1.0,10.144591331481934,19.29950714111328,22.551655769348145
mps-uncap,1.1,7.663488388061523,24.170398712158203,9.721517562866211
mig,1.1,10.172367095947266,19.339561462402344,22.563695907592773
mps-uncap,1.2,7.963895797729492,24.586796760559082,9.7808837890625
mig,1.2,10.18977165222168,19.354581832885742,22.5677490234375
mps-uncap,1.3,8.209586143493652,25.09486675262451,9.757637977600098
mig,1.3,10.171055793762207,19.348859786987305,22.566914558410645
