mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,56.54716491699219,124.58086013793945,26.12447738647461
mig,0.6,90.00992774963379,113.7380599975586,175.35877227783203
mps-uncap,0.7,74.86844062805176,296.97465896606445,26.78060531616211
mig,0.7,103.11222076416016,172.6982593536377,197.23081588745117
mps-uncap,0.8,93.14966201782227,309.58032608032227,32.66596794128418
mig,0.8,150.06089210510254,225.70347785949707,266.5703296661377
mps-uncap,0.9,131.76345825195312,5042.349815368652,44.14010047912598
mig,0.9,291.867733001709,331.4673900604248,483.9596748352051
mps-uncap,1.0,255.41162490844727,15689.824342727661,43.272972106933594
mig,1.0,1307.6438903808594,2562.0217323303223,1952.7175426483154
mps-uncap,1.1,1656.9297313690186,29578.35817337036,48.45619201660156
mig,1.1,9797.756433486938,7442.549228668213,6945.549726486206
mps-uncap,1.2,13148.337602615356,37283.61535072327,67.1992301940918
mig,1.2,15975.645303726196,13729.063987731934,16399.79338645935
mps-uncap,1.3,18540.94910621643,41485.803842544556,53.194522857666016
mig,1.3,21671.010494232178,23012.8276348114,21496.36149406433
