mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,12.503957748413086,24.875402450561523,10.358572006225586
mig,0.6,12.256288528442385,19.921422004699707,23.1320858001709
mps-uncap,0.7,13.222098350524904,26.21846199035645,10.494518280029299
mig,0.7,12.149143218994142,19.88239288330078,23.072242736816406
mps-uncap,0.8,13.801383972167972,28.572440147399902,10.61856746673584
mig,0.8,11.978745460510254,19.849181175231934,22.97806739807129
mps-uncap,0.9,14.507269859313965,30.597591400146484,10.750627517700195
mig,0.9,11.983108520507812,19.91739273071289,23.044109344482422
mps-uncap,1.0,14.964151382446289,33.60133171081543,10.839605331420898
mig,1.0,11.984801292419434,20.05789279937744,23.060917854309082
mps-uncap,1.1,15.642285346984863,36.44108772277832,10.933351516723633
mig,1.1,12.000513076782227,20.104169845581055,23.070716857910156
mps-uncap,1.2,15.93935489654541,37.82153129577637,10.91775894165039
mig,1.2,12.0053768157959,20.116376876831055,23.030829429626465
mps-uncap,1.3,16.26882553100586,40.12758731842041,10.890388488769531
mig,1.3,12.015223503112793,20.107054710388184,23.107194900512695
