mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,34.807493686676075,109.5608353614808,20.63015937805176
mig,0.6,52.66490936279297,84.31104421615592,150.43040752410855
mps-uncap,0.7,46.716024875640805,241.56713485717793,26.07880353927612
mig,0.7,73.3958387374878,135.77339410781846,166.15219116210952
mps-uncap,0.8,64.26033973693846,274.1606831550597,27.578794956207272
mig,0.8,124.79585409164429,166.76032543182373,223.66996765136682
mps-uncap,0.9,108.07956218719468,4965.72084903717,31.6820240020752
mig,0.9,237.34527587890608,272.8859329223633,397.8747630119324
mps-uncap,1.0,185.0544571876526,15202.975196838379,35.7338547706604
mig,1.0,1269.9273943901057,2255.6302022933965,1926.2843132019043
mps-uncap,1.1,1563.5426044464111,29331.570863723755,39.31831359863281
mig,1.1,9590.367016792297,7363.104600906372,6865.49654006958
mps-uncap,1.2,13021.412389278412,36867.141771316536,43.68328094482422
mig,1.2,15694.615964889526,13569.679474830627,16154.98129606247
mps-uncap,1.3,18328.361916542053,41186.57866716385,44.54410076141366
mig,1.3,21426.69838666916,22531.96172952652,21263.555736541748
