mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,20.216012001037615,65.2005672454834,14.140605926513674
mig,0.6,31.505489349365234,50.84109306335449,78.11694145202637
mps-uncap,0.7,26.505970954895023,111.17715835571289,15.75570106506348
mig,0.7,43.28584671020508,83.55927467346193,100.22106170654303
mps-uncap,0.8,36.97185516357423,183.61389636993408,17.313241958618164
mig,0.8,62.448978424072266,99.98321533203125,132.71465301513672
mps-uncap,0.9,63.227105140686035,4682.975721359253,19.115877151489258
mig,0.9,117.04463958740234,175.41966438293457,217.91522502899173
mps-uncap,1.0,120.54653167724608,13868.899297714233,20.63896656036377
mig,1.0,1119.512391090393,1942.592692375183,1792.6459312438965
mps-uncap,1.1,1118.3658838272095,27037.583255767822,23.133707046508793
mig,1.1,8774.526166915894,6794.323444366456,6277.995347976685
mps-uncap,1.2,11910.735607147217,33458.96625518799,25.370740890502923
mig,1.2,13911.575078964235,12275.271368026733,14512.104845046997
mps-uncap,1.3,16734.352111816406,37598.18115234375,27.558660507202156
mig,1.3,19547.011017799377,20287.78648376465,19252.032136917118
