mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,25.120656490325974,89.62898254394541,11.520514488220227
mig,0.6,42.435111999511726,65.18037319183337,128.23773860931365
mps-uncap,0.7,38.0787467956543,221.3000774383546,16.535134315490712
mig,0.7,62.8383469581604,116.82809352874739,143.91817092895522
mps-uncap,0.8,55.42421340942383,249.31564331054673,18.21687221527098
mig,0.8,114.32150602340707,147.21107482910156,201.1401462554929
mps-uncap,0.9,98.77307415008517,4942.870254516602,22.296810150146477
mig,0.9,227.39072799682586,253.75301122665405,374.8439073562622
mps-uncap,1.0,174.91987466812262,15178.434019088743,25.592324733734127
mig,1.0,1258.9569854736328,2236.100828647614,1903.0103087425232
mps-uncap,1.1,1554.5576333999632,29307.2678565979,29.694900512695238
mig,1.1,9580.084829330444,7343.859429359435,6842.651805877686
mps-uncap,1.2,13010.95014333725,36837.48722076417,33.583154678344705
mig,1.2,15684.443497657776,13550.125226974487,16131.925606727598
mps-uncap,1.3,18317.763209342957,41152.219686508186,34.967131614685094
mig,1.3,21416.649889945984,22511.922664642334,21240.957760810852
