mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,9.820938110351562,28.73241901397705,9.032011032104492
mig,0.6,14.771699905395508,23.07307720184326,31.70013427734375
mps-uncap,0.7,11.557817459106445,41.34654998779297,9.353399276733398
mig,0.7,18.71466636657715,33.658623695373535,40.19308090209961
mps-uncap,0.8,14.354467391967773,74.27799701690674,9.836912155151367
mig,0.8,22.94003963470459,39.09337520599365,51.0556697845459
mps-uncap,0.9,20.94447612762451,1739.7942543029785,10.178565979003906
mig,0.9,36.39841079711914,66.49601459503174,82.71646499633789
mps-uncap,1.0,38.55419158935547,7083.71376991272,10.501742362976074
mig,1.0,680.1332235336304,1004.349946975708,1360.0287437438965
mps-uncap,1.1,818.9073801040649,14228.751420974731,11.009454727172852
mig,1.1,4603.3689975738525,3514.4379138946533,2945.321798324585
mps-uncap,1.2,6721.681356430054,19120.498657226562,11.343002319335938
mig,1.2,7812.730312347412,6971.013307571411,9289.42620754242
mps-uncap,1.3,9733.038425445557,21483.391165733337,12.263178825378418
mig,1.3,10556.218385696411,11724.347233772278,10463.644027709961
