mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,1823.4106067087612,120.03475809495478,209.24884010769827
mig,0.6,1819.2884115640798,117.12069251065331,209.99392690980488
mps-uncap,0.7,2150.7903378876103,145.4198258704344,239.41239888003585
mig,0.7,2179.726630849023,144.61025268940057,246.835221135485
mps-uncap,0.8,2518.1401580825254,162.49273687131816,273.11901369448634
mig,0.8,2462.8350624152877,160.67358760610495,285.8273397057487
mps-uncap,0.9,2792.9137158264707,175.14624527526195,311.0818767119607
mig,0.9,2711.4665082963775,182.93308556805061,317.0910059626689
mps-uncap,1.0,3041.7922884580767,166.500003502342,344.663997477671
mig,1.0,3022.9546784713575,205.43347854665447,352.4345908739664
mps-uncap,1.1,3296.830278680752,154.50989983671505,384.2664809514332
mig,1.1,3045.219681283138,204.52229689563367,352.212876377302
mps-uncap,1.2,3196.9973478590023,150.28589527729756,412.8059220680903
mig,1.2,3037.8930899077573,204.74813340292212,352.5812833759786
mps-uncap,1.3,3117.1849412697356,145.5995610194339,437.84080626846685
mig,1.3,3043.8726555472917,205.1268003437049,352.14139990113495
