mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,5.408287048339844,17.093181610107422,6.437540054321289
mig,0.6,9.766578674316406,18.826007843017578,22.152185440063477
mps-uncap,0.7,5.403280258178711,17.543554306030273,6.504535675048828
mig,0.7,9.504079818725586,18.82171630859375,22.144794464111328
mps-uncap,0.8,5.40924072265625,17.341136932373047,6.507158279418945
mig,0.8,9.554386138916016,18.837928771972656,22.15743064880371
mps-uncap,0.9,6.01506233215332,22.81665802001953,6.916999816894531
mig,0.9,9.577512741088867,18.83673667907715,22.152185440063477
mps-uncap,1.0,6.088972091674805,18.357276916503906,6.893396377563477
mig,1.0,9.662628173828125,18.851518630981445,22.205114364624023
mps-uncap,1.1,6.928920745849609,20.438671112060547,8.121252059936523
mig,1.1,9.879827499389648,18.872976303100586,22.2318172454834
mps-uncap,1.2,15.928983688354492,30.148744583129883,8.11624526977539
mig,1.2,9.854316711425781,18.935203552246094,22.202491760253906
mps-uncap,1.3,6.580591201782227,23.800373077392578,7.270336151123047
mig,1.3,10.0555419921875,19.448041915893555,22.25637435913086
