mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,20.910978317260742,43.31660270690918,14.55545425415039
mig,0.6,23.923635482788086,21.98052406311035,25.66242218017578
mps-uncap,0.7,25.27451515197754,45.93157768249512,14.315366744995117
mig,0.7,22.624969482421875,21.457433700561523,29.13045883178711
mps-uncap,0.8,22.092103958129883,47.3177433013916,14.15252685546875
mig,0.8,17.77172088623047,26.075124740600586,25.519609451293945
mps-uncap,0.9,22.13263511657715,49.195289611816406,18.099308013916016
mig,0.9,27.878284454345703,33.722877502441406,35.19248962402344
mps-uncap,1.0,29.28757667541504,49.19552803039551,17.122745513916016
mig,1.0,17.60101318359375,28.322935104370117,28.333425521850586
mps-uncap,1.1,23.06389808654785,50.4152774810791,15.413522720336914
mig,1.1,15.536785125732422,28.089284896850586,27.249574661254883
mps-uncap,1.2,27.133464813232422,51.148176193237305,17.624378204345703
mig,1.2,15.320539474487305,21.807432174682617,26.11517906188965
mps-uncap,1.3,22.30048179626465,49.447059631347656,14.466285705566406
mig,1.3,26.49974822998047,33.6613655090332,31.47292137145996
