mode,load,0_alexnet-32,1_mobilenet_v3_small-32,2_resnet34-2
mps-uncap,0.1,4.955291748046875,9.890174865722656,7.967901229858399
mps-uncap,0.2,4.64768409729004,16.903281211853027,11.773061752319332
mps-uncap,0.3,4.447126388549806,10.179710388183604,14.048576354980469
mps-uncap,0.4,5.0043582916259775,10.92109680175781,10.971927642822267
mps-uncap,0.5,6.198644638061529,12.174129486083984,11.988401412963874
mps-uncap,0.6,7.50279426574707,11.949825286865234,11.081838607788086
mps-uncap,0.7,9.17363166809082,16.02301597595215,11.735630035400396
mps-uncap,0.8,14.274835586547852,25.39777755737304,13.541722297668455
mps-uncap,0.9,31.159639358520508,87.16678619384766,22.017717361450195
mps-uncap,1.0,881.3079357147217,1088.4637832641602,771.9917297363281
mps-uncap,1.1,9669.552183151245,10093.432426452637,11324.740314483643
mps-uncap,1.2,17765.05434513092,19720.876026153564,16962.468576431278
mps-uncap,1.3,24888.907432556152,26080.938148498535,23158.092832565304
mps-uncap,1.4,31071.009063720703,31078.707218170166,30943.277025222782
mps-uncap,1.5,35785.060811042786,36352.575588226326,35055.13782501221
ts,0.1,6.593227386474609,11.519360542297365,10.777950286865234
ts,0.2,4.454135894775391,12.73581981658935,13.364672660827638
ts,0.3,5.277347564697265,13.24148178100586,13.22336196899414
ts,0.4,6.431388854980471,14.144659042358398,15.225648880004883
ts,0.5,8.616924285888672,15.099024772644045,12.25371360778809
ts,0.6,14.533233642578125,15.436220169067383,12.103033065795898
ts,0.7,38.111543655395536,19.478583335876465,13.640880584716797
ts,0.8,1031.7315340042114,30.737733840942386,17.155313491821293
ts,0.9,22116.861701011658,48.04518222808841,30.959320068359382
ts,1.0,39953.219985961914,89.94922637939457,69.34251785278322
ts,1.1,52730.33893108368,1826.742172241211,1249.0504741668701
ts,1.2,57630.7852268219,9679.30793762207,7864.184331893925
ts,1.3,62563.480854034424,18206.737208366394,17917.04821586609
ts,1.4,65508.03823471069,24144.272255897522,23227.78022289276
ts,1.5,68015.29502868652,30054.315948486328,28736.34684085846
mig,0.1,6.251072883605957,13.188886642456056,5.07054328918457
mig,0.2,7.872200012207031,12.499308586120605,8.694243431091309
mig,0.3,9.274101257324219,12.324690818786621,13.916492462158203
mig,0.4,71.38180732727052,16.127586364746094,7.141160964965821
mig,0.5,19.149065017700195,17.42839813232422,12.830257415771484
mig,0.6,46.888136863708496,21.730542182922363,7.398176193237305
mig,0.7,818.4330940246582,29.608726501464844,10.896492004394533
mig,0.8,14050.020408630371,59.50655937194828,10.135078430175781
mig,0.9,24884.709358215332,112.15920448303227,10.473823547363283
mig,1.0,34153.95650863648,8817.734384536741,11.380720138549808
mig,1.1,40230.84878921509,16525.62801837921,13.018155097961428
mig,1.2,46998.53730201721,25185.554194450386,17.119884490966797
mig,1.3,50222.5606918335,29726.494431495667,20.538282394409183
mig,1.4,55109.60218906403,35045.36981582641,29.03800010681153
mig,1.5,59254.89406585693,40630.69849014283,39.312815666198745
