mode,load,0_alexnet-32,1_mobilenet_v3_small-32,2_resnet34-2
mps-uncap,0.1,3.6821365356445312,8.930590152740477,6.099576950073195
mps-uncap,0.2,4.292540550231933,16.746342182159424,12.073204517364486
mps-uncap,0.3,4.532210826873766,13.527104854583722,17.04306840896605
mps-uncap,0.4,6.1245203018188485,14.081268310546912,13.859953880310057
mps-uncap,0.5,15.03813743591314,19.59414482116691,15.800447463989283
mps-uncap,0.6,153.78496408462553,276.285076141358,16.08439683914186
mps-uncap,0.7,286.03234291076706,237.2812843322757,16.559677124023434
mps-uncap,0.8,569.7376728057861,541.1846828460692,20.858917236328114
mps-uncap,0.9,910.3731632232666,977.2264957427979,35.02738475799555
mps-uncap,1.0,1283.3465647697449,1263.4692263603208,913.9265179634094
mps-uncap,1.1,10417.595133781433,11184.150886535646,12827.685613632202
mps-uncap,1.2,19440.741350650787,21430.633239746094,18990.557737350464
mps-uncap,1.3,27089.347848892212,28607.000942230225,25890.514588356014
mps-uncap,1.4,34146.800899505615,34068.040561676025,34317.123432159424
mps-uncap,1.5,39237.35329866409,40268.52246761321,38646.91709518432
ts,0.1,5.447185039520276,9.668669700622559,7.966732978820799
ts,0.2,3.9064884185790927,13.730201721191403,12.35478401184082
ts,0.3,6.272897720336923,17.2199034690857,13.927927017211907
ts,0.4,11.431894302368143,20.407676696777344,18.934974670410163
ts,0.5,102.19888687133776,23.532698154449502,16.833131313323953
ts,0.6,336.2455415725699,27.127065658569336,16.526670455932617
ts,0.7,628.3610343933111,192.51776695251468,18.940114974975625
ts,0.8,1225.1481533050537,492.0729732513427,30.037364959716705
ts,0.9,24081.55384063721,526.1676573753356,65.86957931518562
ts,1.0,44428.941822052,967.1984267234801,149.49851274490354
ts,1.1,57907.29310512543,1936.128797531128,1382.6956844329834
ts,1.2,63356.49130821229,10400.303053855896,8436.829261779787
ts,1.3,68869.97709751129,19842.42551565171,19829.41379547119
ts,1.4,72036.63109779358,26537.0526099205,25886.989068984985
ts,1.5,74773.55380058289,33111.652760505676,31690.48501253128
mig,0.1,4.981424808502199,11.0884761810302,4.0865278244018555
mig,0.2,8.1564998626709,12.853491306304939,9.556355476379405
mig,0.3,12.608404159545897,12.620031833648682,15.206336975097656
mig,0.4,137.55492210388164,20.256052017211918,7.144885063171388
mig,0.5,102.03983783721941,23.323535919189453,16.524124145507812
mig,0.6,529.3429470062256,39.293396472930894,8.654680252075194
mig,0.7,880.366849899292,171.27959728240947,13.538837432861346
mig,0.8,14824.432096481321,329.4948816299437,13.330731391906738
mig,0.9,27282.281041145325,456.3926815986633,14.06562805175781
mig,1.0,37330.71186065673,9358.581905364988,17.09968566894531
mig,1.1,44147.70317077637,18377.125482559208,20.73123216629025
mig,1.2,51698.45974445343,27454.899702072144,26.61851406097406
mig,1.3,55398.429279327385,32972.49195575714,42.30321884155269
mig,1.4,60451.244983673096,38626.5375995636,46.14489555358886
mig,1.5,65049.4441986084,44563.994731903076,82.59748458862308
