mode,load,0_alexnet-32,1_mobilenet_v3_small-32,2_resnet34-2
mps-uncap,0.1,1075.534493813408,528.4316544308724,34.093756373665855
mps-uncap,0.2,2074.7228366840905,1038.4999075507826,67.07500323277192
mps-uncap,0.3,3169.3008932064913,1593.176879771046,100.24270774941041
mps-uncap,0.4,4111.553671602181,2122.049840907126,134.51290823022873
mps-uncap,0.5,5216.43497283796,2627.152685381984,166.21083065908934
mps-uncap,0.6,6180.590411046098,3150.9705224349736,198.79992504705612
mps-uncap,0.7,7199.599093444777,3671.5222026211854,232.7062332191153
mps-uncap,0.8,8268.93635449334,4166.374037658603,264.3432609042735
mps-uncap,0.9,9125.388453033049,4711.3064831908605,298.09277514687915
mps-uncap,1.0,10280.664719768773,5232.994877052552,339.45792708561225
mps-uncap,1.1,10306.693631860371,5205.944518516028,330.50443544428407
mps-uncap,1.2,10424.417559045614,5260.519469656891,334.6979846506498
mps-uncap,1.3,10434.240493728257,5265.421973237571,335.5204712910707
mps-uncap,1.4,10323.855562984872,5193.95597449796,330.4237259107729
mps-uncap,1.5,10416.984620900668,5255.46163393606,335.0961395551004
ts,0.1,1055.4992407529774,533.5566766301833,32.561962032408545
ts,0.2,2116.3635117271187,1059.1416286498231,66.50017844124831
ts,0.3,3132.2123959858113,1600.9578614906961,101.64692753027515
ts,0.4,4190.1771545050415,2139.168164790731,134.71280857613374
ts,0.5,5200.23455582815,2699.6123195963523,166.77873596937278
ts,0.6,6254.79094437603,3171.1303025908373,204.34807977289182
ts,0.7,7368.85910866445,3639.6826016628793,231.47363769487
ts,0.8,8148.284510701433,4151.026651637554,268.9492276237473
ts,0.9,7321.6156039012785,4827.609279066941,307.67010163315786
ts,1.0,6611.099598188233,5232.359953246103,335.96598502040763
ts,1.1,5888.938781070922,5708.555766589702,368.6287333715447
ts,1.2,5831.702740749399,5707.140093373869,365.4589807206989
ts,1.3,5822.061306845488,5691.576381527413,365.42964286329516
ts,1.4,5785.260190610955,5715.369382664768,365.7558440507824
ts,1.5,5871.382451770062,5703.226123499348,367.83300754673047
mig,0.1,1044.7833777456635,528.347961818429,33.90248436331673
mig,0.2,2097.088990297566,1046.3925678561866,68.56760872047262
mig,0.3,3169.7608851313657,1594.1339872192002,100.77728721953758
mig,0.4,4235.073551557165,2100.1929658277063,133.57761398380674
mig,0.5,5145.972775244097,2661.6333100130187,170.25549741138903
mig,0.6,6297.171025826956,3142.700881163266,203.74829119989974
mig,0.7,7238.149060284452,3667.6833768555675,230.28405761342353
mig,0.8,7265.079469773578,4149.705081363422,266.1767072520796
mig,0.9,7252.6798977383805,4612.439660706338,302.07968331174385
mig,1.0,7109.227045363882,4905.209364656635,336.95297850489794
mig,1.1,7202.364744463343,4930.456951024115,363.2220174935405
mig,1.2,7129.686737443975,4881.917260950781,405.3998449846646
mig,1.3,7195.54849021734,4914.727708324184,434.85966415348827
mig,1.4,7177.521957907836,4910.776663244958,456.584078125623
mig,1.5,7144.686472428165,4895.045766359952,489.4906342612723
