mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-2
mig,0.1,67.66167822215625,70.4858326594089
mig,0.2,137.41939906402303,147.11974563635542
mig,0.3,213.05547162811075,211.93542933842522
mig,0.4,280.21898611183735,277.7780528541773
mig,0.5,352.02439631058445,355.61474371803814
mig,0.6,413.1616320921948,416.8075286879654
mig,0.7,493.4429781350873,490.4179515307139
mig,0.8,553.5865393509372,565.2531915279554
mig,0.9,628.1666537219506,619.679511950595
mig,1.0,699.1236069820704,700.793988907661
