mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-2
mig,0.1,8.609247207641602,10.833420753478983
mig,0.2,15.673484802246104,15.098600387573244
mig,0.3,14.702191352844205,13.833074569702147
mig,0.4,12.912273406982434,14.43970918655396
mig,0.5,12.696135044097886,12.048482894897461
mig,0.6,12.772836685180664,12.193117141723615
mig,0.7,17.219293117523193,18.34560871124269
mig,0.8,29.22911643981923,24.69915628433225
mig,0.9,47.138972282409725,71.14418983459484
mig,1.0,229.81489181518555,348.38175773620605
