mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-2
mig,0.1,6.6471099853515625,6.681919097900391
mig,0.2,6.372928619384766,5.997180938720703
mig,0.3,4.5861005783081055,4.530191421508789
mig,0.4,2.9897689819335938,3.0368566513061523
mig,0.5,2.799510955810547,2.7985572814941406
mig,0.6,2.7968883514404297,2.7620792388916016
mig,0.7,2.8259754180908203,2.841949462890625
mig,0.8,2.7985572814941406,2.812623977661133
mig,0.9,2.794504165649414,2.800464630126953
mig,1.0,2.803802490234375,2.825021743774414
