mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-2
mig,0.1,7.133007049560547,7.173824310302734
mig,0.2,7.364416122436523,7.127714157104492
mig,0.3,6.256437301635741,6.236362457275391
mig,0.4,4.790449142456055,4.774951934814453
mig,0.5,4.415750503540039,4.161834716796875
mig,0.6,2.974271774291992,3.0057668685913086
mig,0.7,2.9636621475219727,2.995729446411133
mig,0.8,2.9082298278808594,2.9337406158447266
mig,0.9,2.8824806213378906,2.887725830078125
mig,1.0,2.871990203857422,2.893209457397461
