mode,load,0_efficientnet_b7-32,1_efficientnet_b7-32
mig,0.1,5.57255744934082,0.0658988952636719
mig,0.2,51.31587982177736,69.05975341796875
mig,0.3,91.28606319427492,107.7113151550293
mig,0.4,121.65489196777345,180.977487564087
mig,0.5,228.21004390716567,201.52416229248055
mig,0.6,241.30845069885254,265.50893783569336
mig,0.7,367.50829219818115,559.8153591156007
mig,0.8,1051.0930061340334,1285.0865125656128
mig,0.9,2447.5196599960336,3709.9920511245728
mig,1.0,5169.666028022768,5643.035268783569
