mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,483.4204986071346,98.75673046630077,831.7532375789546
mig,0.6,451.99967141297964,95.69213522245293,816.3761506425103
mps-uncap,0.7,518.629831105472,109.22449753641091,956.2804766253466
mig,0.7,538.7839230664067,130.16218375607298,959.5818427488202
mps-uncap,0.8,605.6150268927827,123.89369879307758,1078.4232005720921
mig,0.8,619.0447828983815,128.97606267789422,1091.9414852000702
mps-uncap,0.9,663.3551979689455,142.60552267287812,1154.584947228954
mig,0.9,706.6799337283824,147.87510852757677,1231.2949222091474
mps-uncap,1.0,778.1908827799713,170.48107652908976,928.5406949134002
mig,1.0,763.8544783363924,162.33607335965849,1389.4312082383553
mps-uncap,1.1,810.9665159733823,171.9240749008884,886.3523033545869
mig,1.1,771.8618113651204,161.88885354660653,1388.5261437546737
mps-uncap,1.2,919.6372088261397,185.25506076997826,716.1712929730163
mig,1.2,774.5473530755,162.80965297816286,1394.2623349107669
mps-uncap,1.3,927.4473790794549,215.20766683399066,576.0221828615723
mig,1.3,772.9319079071372,162.8931451219542,1395.5772760763211
