mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,34.10480022430422,34.460234642028816,26.264429092407227
mig,0.6,82.590913772583,184.1923475265503,6.118273735046387
mps-uncap,0.7,35.04025936126709,54.66699600219727,57.470512390136726
mig,0.7,118.45827102661136,451.9255638122558,7.980108261108404
mps-uncap,0.8,54.485797882080135,57.64515399932861,175.76174736022955
mig,0.8,177.92093753814697,669.7875976562501,12.257194519042978
mps-uncap,0.9,73.45838546752933,100.49633979797362,7149.338483810425
mig,0.9,403.2298564910888,1114.0936613082886,23.30310344696045
mps-uncap,1.0,120.22662162780762,210.19699573516846,24375.039148330692
mig,1.0,2124.6152877807617,4549.317955970764,956.0566902160645
mps-uncap,1.1,191.63665771484375,146.42229080200198,35190.319895744324
mig,1.1,7433.011770248413,10748.331093788147,6625.349473953247
mps-uncap,1.2,736.560297012329,269.1795825958252,46851.41818523408
mig,1.2,13343.127298355103,11062.191247940063,12412.357449531555
mps-uncap,1.3,7197.785472869874,1073.0714321136477,54703.66716384888
mig,1.3,19945.807075500485,18821.897864341736,18366.816759109497
