mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,24.373531341552734,42.80364513397217,2.477884292602539
mig,0.6,40.70448875427246,96.69017791748047,2.744913101196289
mps-uncap,0.7,25.04444122314453,47.040700912475586,2.323150634765625
mig,0.7,40.54594039916992,96.87817096710205,2.7420520782470703
mps-uncap,0.8,25.347590446472168,50.34923553466797,2.3658275604248047
mig,0.8,40.61233997344971,97.09882736206055,2.754688262939453
mps-uncap,0.9,27.27830410003662,54.598331451416016,2.305746078491211
mig,0.9,40.91763496398926,97.6107120513916,2.7785301208496094
mps-uncap,1.0,32.428741455078125,64.73398208618164,3.484010696411133
mig,1.0,41.04280471801758,98.07968139648438,2.806425094604492
mps-uncap,1.1,32.665252685546875,65.60921669006348,3.5889148712158203
mig,1.1,41.04304313659668,98.1379747390747,2.810955047607422
mps-uncap,1.2,33.35916996002197,67.54720211029053,5.681276321411133
mig,1.2,41.04459285736084,98.14095497131348,2.814054489135742
mps-uncap,1.3,34.68060493469238,68.00580024719238,6.524085998535156
mig,1.3,41.06259346008301,98.08480739593506,2.813577651977539
