mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,122.37286567687988,118.70145797729492,113.67273330688477
mig,0.6,237.74099349975586,398.5590934753418,28.77354621887207
mps-uncap,0.7,128.17120552062988,177.66952514648438,286.27610206604004
mig,0.7,228.485107421875,840.5807018280029,57.14082717895508
mps-uncap,0.8,206.18796348571777,289.75868225097656,391.155481338501
mig,0.8,382.19141960144043,1126.0318756103516,38.77663612365723
mps-uncap,0.9,269.82903480529785,474.4582176208496,7579.550266265869
mig,0.9,702.6007175445557,1625.3581047058105,72.69167900085449
mps-uncap,1.0,385.0553035736084,656.6081047058105,29761.3205909729
mig,1.0,2433.6416721343994,5472.3076820373535,1081.8984508514404
mps-uncap,1.1,431.92458152770996,376.19805335998535,37570.90783119202
mig,1.1,8351.999282836914,12436.957120895386,7164.24822807312
mps-uncap,1.2,1564.0456676483154,643.488883972168,51398.30684661865
mig,1.2,15071.40827178955,12277.078866958618,13815.11926651001
mps-uncap,1.3,8338.178873062134,1768.5019969940186,61579.14900779724
mig,1.3,22176.075220108032,21156.551837921143,20525.25568008423
