mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,35.560035705566406,64.42296504974365,6.143808364868164
mig,0.6,43.23539733886719,97.99840450286865,3.154754638671875
mps-uncap,0.7,36.05759143829346,66.47405624389648,6.2780380249023455
mig,0.7,42.99159049987793,98.12662601470947,3.128528594970703
mps-uncap,0.8,36.44988536834717,67.37213134765625,6.518697738647461
mig,0.8,43.02027225494385,98.28596115112305,3.111982345581055
mps-uncap,0.9,37.247872352600105,67.90757179260254,6.897878646850587
mig,0.9,43.164873123168945,98.8236665725708,3.0837059020996094
mps-uncap,1.0,37.969112396240234,68.4762716293335,8.258056640625004
mig,1.0,43.108320236206055,99.11117553710938,3.052234649658203
mps-uncap,1.1,37.90435791015625,68.61858367919922,8.470416069030762
mig,1.1,43.09968948364258,99.14088249206543,3.0462026596069336
mps-uncap,1.2,38.20497989654541,69.02694702148438,9.3458890914917
mig,1.2,42.73216724395752,99.00527000427246,3.017902374267578
mps-uncap,1.3,38.581275939941406,69.11470890045166,10.141992568969728
mig,1.3,42.95825958251953,98.87170791625977,3.0100345611572266
