mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,19.777774810791016,30.045270919799805,1.6980171203613281
mig,0.6,39.62254524230957,95.85714340209961,2.6612281799316406
mps-uncap,0.7,19.778728485107422,30.006885528564453,1.7108917236328125
mig,0.7,39.72196578979492,95.88432312011719,2.6612281799316406
mps-uncap,0.8,19.804000854492188,29.089927673339844,1.6942024230957031
mig,0.8,39.5808219909668,95.91817855834961,2.655029296875
mps-uncap,0.9,22.250652313232422,34.520864486694336,1.7011165618896484
mig,0.9,39.70766067504883,95.96586227416992,2.6569366455078125
mps-uncap,1.0,22.26567268371582,34.44528579711914,1.6846656799316406
mig,1.0,40.04693031311035,96.0540771484375,2.6781558990478516
mps-uncap,1.1,22.346973419189453,34.61170196533203,1.7268657684326172
mig,1.1,39.949655532836914,96.36974334716797,2.684354782104492
mps-uncap,1.2,22.429466247558594,29.690980911254883,1.714468002319336
mig,1.2,39.958953857421875,96.53425216674805,2.69317626953125
mps-uncap,1.3,22.46999740600586,35.327911376953125,1.7383098602294922
mig,1.3,40.230751037597656,97.2442626953125,2.705812454223633
