mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,63.41872215270997,83.77175331115723,30.35569190979004
mig,0.6,123.13604354858398,281.18109703063965,9.074735641479505
mps-uncap,0.7,64.65435028076172,108.55679512023927,61.38153076171881
mig,0.7,159.11426544189453,548.4853982925415,10.872888565063478
mps-uncap,0.8,84.87911224365236,113.20226192474365,179.38981056213382
mig,0.8,219.33789253234863,766.4281845092775,15.141725540161136
mps-uncap,0.9,103.2371044158936,157.79228210449216,7152.561807632446
mig,0.9,446.2584495544433,1212.2942209243774,26.152825355529785
mps-uncap,1.0,153.66125106811523,277.8141021728515,24380.55081367493
mig,1.0,2166.43009185791,4647.633957862854,958.8886737823486
mps-uncap,1.1,224.85527992248538,208.75577926635748,35192.62647628784
mig,1.1,7474.049854278564,10846.721029281616,6628.157424926758
mps-uncap,1.2,767.1728372573853,337.032675743103,46855.99493980408
mig,1.2,13384.661316871643,11160.149669647217,12415.203094482422
mps-uncap,1.3,7234.929609298706,1142.4719333648684,54709.088921546936
mig,1.3,19986.881589889523,18923.055124282837,18369.570159912113
