mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,0.01430511474609375,0.014781951904296875,0.011205673217773438
mig,0.6,0.013828277587890625,0.014781951904296875,0.011205673217773438
mps-uncap,0.7,0.013828277587890625,0.01430511474609375,0.010967254638671875
mig,0.7,0.013828277587890625,0.015020370483398438,0.011444091796875
mps-uncap,0.8,0.012874603271484375,0.014066696166992188,0.010967254638671875
mig,0.8,0.013589859008789062,0.0152587890625,0.010967254638671875
mps-uncap,0.9,0.013589859008789062,0.01430511474609375,0.013828277587890625
mig,0.9,0.013589859008789062,0.014543533325195312,0.011205673217773438
mps-uncap,1.0,0.014066696166992188,0.015020370483398438,0.014781951904296875
mig,1.0,0.014066696166992188,0.015497207641601562,0.014066696166992188
mps-uncap,1.1,0.0133514404296875,0.015497207641601562,0.015020370483398438
mig,1.1,0.018835067749023438,0.017642974853515625,0.013589859008789062
mps-uncap,1.2,0.014066696166992188,0.014066696166992188,0.013828277587890625
mig,1.2,0.0209808349609375,0.024318695068359375,0.013828277587890625
mps-uncap,1.3,0.017642974853515625,0.015735626220703125,0.017404556274414062
mig,1.3,0.019550323486328125,0.015974044799804688,0.013589859008789062
