mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,88.558611869812,77.75677680969247,62.92805671691885
mig,0.6,174.26275253295898,313.9096903800967,13.662710189819336
mps-uncap,0.7,76.23012065887454,133.55881690978998,162.54167079925557
mig,0.7,189.5561504364014,681.7037105560299,17.71349906921385
mps-uncap,0.8,128.50998640060422,159.0838384628296,295.2309036254883
mig,0.8,319.3797683715821,923.7669992446897,24.897046089172367
mps-uncap,0.9,164.5481729507446,367.693672180176,7476.310625076294
mig,0.9,573.1240272521973,1460.6990218162537,46.67257070541385
mps-uncap,1.0,291.5672779083251,508.3335113525388,29357.420282363895
mig,1.0,2373.999171257019,5227.722642421722,1030.118751525879
mps-uncap,1.1,365.73759078979566,275.2232551574708,37231.01235628128
mig,1.1,8260.116701126099,12123.476564884184,7135.322639942169
mps-uncap,1.2,1404.6136045455933,518.7406301498422,50706.50184392929
mig,1.2,14735.780580043793,11854.635248184204,13698.272168636322
mps-uncap,1.3,8161.865530014039,1663.6206841468809,60886.46182537079
mig,1.3,21870.091609954834,20943.87270450592,20271.162533760074
