mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,19.931554794311523,30.067920684814453,1.7275810241699219
mig,0.6,39.806365966796875,95.87645530700684,2.6760101318359375
mps-uncap,0.7,19.793033599853516,30.03406524658203,1.73187255859375
mig,0.7,39.73960876464844,95.99971771240234,2.675294876098633
mps-uncap,0.8,19.8211669921875,29.10923957824707,1.7247200012207031
mig,0.8,39.75677490234375,95.93844413757324,2.6731491088867188
mps-uncap,0.9,22.269248962402344,34.539222717285156,1.7371177673339844
mig,0.9,40.09723663330078,96.0547924041748,2.685546875
mps-uncap,1.0,22.284746170043945,34.47151184082031,4.790782928466797
mig,1.0,40.06528854370117,96.33278846740723,2.7437210083007812
mps-uncap,1.1,22.36485481262207,34.630775451660156,4.03285026550293
mig,1.1,40.34614562988281,96.3897705078125,2.7234554290771484
mps-uncap,1.2,22.44710922241211,34.74712371826172,6.223201751708984
mig,1.2,39.97993469238281,96.77004814147949,2.7141571044921875
mps-uncap,1.3,22.489309310913086,35.34698486328125,3.9412975311279297
mig,1.3,40.499210357666016,97.42069244384766,2.745389938354492
