mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,111.90098524093617,126.42106771469119,66.9797897338867
mig,0.6,214.89712238311776,411.3155555725101,16.520779132843018
mps-uncap,0.7,105.58147430419935,178.7331485748291,166.55481338500977
mig,0.7,230.1827669143677,778.8159656524655,20.59954643249511
mps-uncap,0.8,163.01793575286834,224.45300102233878,298.1093645095825
mig,0.8,360.8223795890808,1021.3396692276,27.80061721801758
mps-uncap,0.9,196.47995471954346,431.6931724548342,7479.7716999053955
mig,0.9,613.7668418884276,1557.8179955482483,49.57244634628299
mps-uncap,1.0,325.4437923431394,575.9788942337036,29363.971366882324
mig,1.0,2415.3315353393555,5325.586700439452,1032.9212951660156
mps-uncap,1.1,397.8835010528569,338.3984851837158,37233.510625362396
mig,1.1,8301.067771911621,12221.517219543455,7138.187277317047
mps-uncap,1.2,1436.096215248108,586.9386792182931,50712.783980369575
mig,1.2,14776.931619644165,11952.935676574707,13701.017916202545
mps-uncap,1.3,8197.607245445251,1731.5798878669732,60892.709980010986
mig,1.3,21913.808035850525,21042.25098133087,20273.968222141266
