mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,40.0856351852417,68.63757371902467,10.10890007019043
mig,0.6,44.32836055755616,99.1339921951294,3.813016414642333
mps-uncap,0.7,40.039336681365974,68.87022018432617,10.356783866882353
mig,0.7,44.265451431274414,99.35634851455688,3.764257431030273
mps-uncap,0.8,39.93409872055053,69.61767435073853,10.46852111816406
mig,0.8,44.00210618972779,99.89096641540526,3.7505292892456055
mps-uncap,0.9,40.379650592803955,70.19285202026369,10.888814926147363
mig,0.9,44.18505668640137,100.20583868026733,3.783919811248781
mps-uncap,1.0,40.06891250610351,70.38606643676758,11.928882598876953
mig,1.0,44.09149646759033,100.57489395141602,3.7055587768554674
mps-uncap,1.1,40.361490249633796,70.73466300964355,12.007391452789308
mig,1.1,44.25053596496582,101.03947162628174,3.6993432044982906
mps-uncap,1.2,40.463504791259766,71.01593017578125,12.743895053863527
mig,1.2,44.00977373123169,100.35654067993164,3.650665283203125
mps-uncap,1.3,39.915738105773926,71.21621370315552,13.027186393737786
mig,1.3,44.322257041931145,100.60649394989012,3.610827922821046
