mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,45.266151428222656,74.10812377929688,19.399166107177734
mig,0.6,45.438528060913086,99.78032112121582,16.368627548217773
mps-uncap,0.7,41.88656806945801,69.95820999145508,17.363786697387695
mig,0.7,57.74736404418945,109.56764221191406,17.87734031677246
mps-uncap,0.8,42.97471046447754,72.04532623291016,16.027450561523438
mig,0.8,54.34584617614746,105.38196563720703,14.253377914428711
mps-uncap,0.9,50.02903938293457,72.34406471252441,20.186662673950195
mig,0.9,45.445919036865234,101.0591983795166,10.243415832519531
mps-uncap,1.0,44.42238807678223,71.87652587890625,17.377376556396484
mig,1.0,47.80697822570801,102.79512405395508,12.342214584350586
mps-uncap,1.1,45.53031921386719,79.57983016967773,22.606849670410156
mig,1.1,51.4063835144043,102.92911529541016,11.237859725952148
mps-uncap,1.2,42.81353950500488,73.96125793457031,23.489952087402344
mig,1.2,47.193288803100586,101.4864444732666,9.568929672241211
mps-uncap,1.3,47.589778900146484,74.12934303283691,20.952701568603516
mig,1.3,45.5327033996582,106.8122386932373,12.72892951965332
