mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,0.030875205993652344,0.029206275939941406,2.0160675048828125
mig,0.6,10.274648666381836,29.565811157226562,1.001119613647461
mps-uncap,0.7,0.030040740966796875,0.029325485229492188,6.241083145141602
mig,0.7,33.83374214172363,108.99019241333008,1.9257068634033203
mps-uncap,0.8,4.487276077270508,0.028133392333984375,34.52324867248535
mig,0.8,47.99163341522217,141.97516441345215,3.0660629272460938
mps-uncap,0.9,11.455655097961426,0.028133392333984375,5745.978832244873
mig,0.9,147.63188362121582,399.89173412323,7.042527198791504
mps-uncap,1.0,30.200481414794922,30.217647552490234,14539.559364318848
mig,1.0,921.741247177124,2313.369035720825,370.8024024963379
mps-uncap,1.1,36.683082580566406,31.703710556030273,19941.106915473938
mig,1.1,3099.578857421875,4876.2030601501465,3352.029800415039
mps-uncap,1.2,134.12809371948242,60.047030448913574,24722.5159406662
mig,1.2,8016.751170158386,5038.742780685425,6729.817271232605
mps-uncap,1.3,4351.176977157593,262.6727819442749,28713.25123310089
mig,1.3,11049.213171005249,9426.318883895874,10003.408312797546
