mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,157.72342681884766,171.33498191833496,119.54236030578613
mig,0.6,278.2416343688965,495.882511138916,31.737804412841797
mps-uncap,0.7,166.1231517791748,213.84549140930176,289.3822193145752
mig,0.7,268.65220069885254,937.3824596405029,60.10794639587402
mps-uncap,0.8,229.34818267822266,326.51352882385254,392.8649425506592
mig,0.8,423.02560806274414,1223.3352661132812,41.48149490356445
mps-uncap,0.9,304.9275875091553,533.4601402282715,7586.150884628296
mig,0.9,743.2937622070312,1722.7602005004883,75.47140121459961
mps-uncap,1.0,419.9633598327637,724.5934009552002,29765.08402824402
mig,1.0,2474.6012687683105,5570.373058319092,1084.7175121307373
mps-uncap,1.1,455.40499687194824,433.22086334228516,37593.51468086243
mig,1.1,8392.983436584473,12537.073135375977,7167.066812515259
mps-uncap,1.2,1599.7891426086426,710.1385593414307,51421.796798706055
mig,1.2,15112.257719039917,12373.613119125366,13823.487281799316
mps-uncap,1.3,8370.731592178345,1836.9383811950684,61600.101709365845
mig,1.3,22217.528343200684,21255.40041923523,20537.984609603882
