mode,load,0_resnet50-32,1_alexnet-2,2_vgg13-4
mps-uncap,0.6,21.218419075012207,2.557516098022461,7.580661773681644
mig,0.6,29.0863037109375,1.6748905181884766,10.249567031860352
mps-uncap,0.7,21.756792068481445,2.7256011962890625,8.0033540725708
mig,0.7,29.015016555786133,1.6317367553710938,10.201406478881836
mps-uncap,0.8,21.372318267822266,2.961874008178711,8.481693267822266
mig,0.8,29.00087833404541,1.6167879104614264,10.196185111999512
mps-uncap,0.9,21.72565460205078,3.048419952392578,8.690881729125977
mig,0.9,29.158735275268555,1.6040802001953125,10.207056999206543
mps-uncap,1.0,21.970224380493164,3.214311599731446,9.014272689819336
mig,1.0,29.101848602294922,1.6033649444580078,10.16998291015625
mps-uncap,1.1,22.221899032592773,3.5886764526367188,9.313058853149414
mig,1.1,28.968334197998047,1.5947818756103516,10.132980346679688
mps-uncap,1.2,22.358417510986328,3.866171836853028,9.481430053710938
mig,1.2,28.702497482299805,1.5869140625,10.10441780090332
mps-uncap,1.3,22.504472732543945,4.288625717163087,9.647607803344727
mig,1.3,29.18796539306641,1.5985965728759766,10.127544403076172
