mode,load,0_resnet50-32,1_alexnet-2,2_vgg13-4
mps-uncap,0.6,38.03086280822754,17.072200775146484,12.16435432434082
mig,0.6,35.143136978149414,11.064291000366211,16.527891159057617
mps-uncap,0.7,36.089181900024414,10.358095169067383,19.186973571777344
mig,0.7,31.41307830810547,6.602764129638672,12.007951736450195
mps-uncap,0.8,30.12561798095703,11.415481567382812,22.396564483642578
mig,0.8,37.78433799743652,14.955282211303711,21.556615829467773
mps-uncap,0.9,26.537656784057617,11.031150817871094,11.79361343383789
mig,0.9,31.737327575683594,6.252527236938477,14.635086059570312
mps-uncap,1.0,27.087688446044922,9.366989135742188,14.108896255493164
mig,1.0,40.81249237060547,14.30654525756836,21.267414093017578
mps-uncap,1.1,27.036666870117188,20.386219024658203,16.803741455078125
mig,1.1,33.637046813964844,9.750843048095703,16.6628360748291
mps-uncap,1.2,26.34716033935547,21.518707275390625,13.512372970581055
mig,1.2,36.47923469543457,10.160446166992188,16.208887100219727
mps-uncap,1.3,30.758380889892578,21.724939346313477,11.916399002075195
mig,1.3,33.81991386413574,17.617464065551758,14.220237731933594
