mode,load,0_resnet50-32,1_alexnet-2,2_vgg13-4
mps-uncap,0.6,37.17029094696045,6.512546539306642,9.542489051818848
mig,0.6,88.66846561431886,4.550695419311523,29.96158599853517
mps-uncap,0.7,44.29316520690918,10.237002372741705,11.175394058227539
mig,0.7,116.60571098327638,5.623340606689453,39.92743492126465
mps-uncap,0.8,51.351737976074226,31.033921241760257,13.713502883911143
mig,0.8,140.88823795318612,7.762980461120606,58.57427120208742
mps-uncap,0.9,63.523054122924805,136.01078987121582,15.644931793212889
mig,0.9,320.5186843872072,12.517666816711428,126.029372215271
mps-uncap,1.0,94.55955028533938,6595.206785202026,19.369649887084964
mig,1.0,877.1324634552001,89.92266654968262,651.4841318130495
mps-uncap,1.1,148.58989715576186,24029.49604988098,27.23851203918457
mig,1.1,6722.699165344238,4666.844129562378,6636.216115951538
mps-uncap,1.2,310.9140396118164,36330.66546916962,43.29109191894531
mig,1.2,14376.559376716616,10366.767978668213,13920.828700065613
mps-uncap,1.3,806.3275337219238,46081.565952301025,68.95208358764648
mig,1.3,20530.98216056824,16277.661085128784,18338.195729255676
