mode,load,0_resnet50-32,1_alexnet-2,2_vgg13-4
mps-uncap,0.6,13.117790222167969,0.74005126953125,2.689838409423828
mig,0.6,25.59065818786621,1.4123916625976562,9.626150131225586
mps-uncap,0.7,13.111591339111328,0.7305145263671875,2.6819705963134766
mig,0.7,25.748491287231445,1.4162063598632812,9.647846221923828
mps-uncap,0.8,13.554096221923828,0.7393360137939453,2.6807785034179688
mig,0.8,25.70033073425293,1.4116764068603516,9.627819061279297
mps-uncap,0.9,13.38958740234375,0.7395744323730469,2.699613571166992
mig,0.9,25.691509246826172,1.4164447784423828,9.617090225219727
mps-uncap,1.0,14.059782028198242,0.7617473602294922,3.1881332397460938
mig,1.0,25.665283203125,1.4374256134033203,9.669303894042969
mps-uncap,1.1,14.825582504272461,0.7550716400146484,3.0927658081054688
mig,1.1,26.05414390563965,1.4345645904541016,9.708881378173828
mps-uncap,1.2,14.952898025512695,0.759124755859375,3.2339096069335938
mig,1.2,26.158809661865234,1.435995101928711,9.68480110168457
mps-uncap,1.3,14.798164367675781,0.7462501525878906,3.240823745727539
mig,1.3,26.180744171142578,1.461029052734375,9.670734405517578
