mode,load,0_resnet50-32,1_alexnet-2,2_vgg13-4
mps-uncap,0.6,24.465632438659664,3.9141178131103516,9.710981845855715
mig,0.6,30.327310562133786,2.111802101135254,10.849666595458984
mps-uncap,0.7,24.85090970993042,4.0483689308166495,9.828557968139647
mig,0.7,30.423169136047363,2.1265745162963867,10.816006660461426
mps-uncap,0.8,24.37826156616211,4.833116531372069,10.051045417785646
mig,0.8,30.369985103607178,2.1431040763854985,10.922753810882567
mps-uncap,0.9,24.590349197387695,5.007858276367187,10.202078819274902
mig,0.9,30.431854724884037,2.175862789154052,10.957503318786623
mps-uncap,1.0,24.769997596740726,5.3247880935668945,10.303525924682617
mig,1.0,30.14430046081543,2.1448135375976562,11.033380031585695
mps-uncap,1.1,24.8994255065918,5.712463855743407,10.425329208374023
mig,1.1,30.12382984161377,2.080202102661133,10.975356101989746
mps-uncap,1.2,24.90477561950684,5.820937156677246,10.44313907623291
mig,1.2,30.09005308151245,2.016844749450684,10.926949977874756
mps-uncap,1.3,24.836921691894535,5.989036560058594,10.545969009399414
mig,1.3,30.42564630508423,2.076053619384767,10.961587429046629
