mode,load,0_resnet50-32,1_alexnet-2,2_vgg13-4
mps-uncap,0.6,691.1455844436099,773.4487408760356,240.32175117662064
mig,0.6,698.7674749982087,767.6430515588663,240.35959137457732
mps-uncap,0.7,826.4776244079517,894.4221961657261,277.4745502255015
mig,0.7,840.8953213846604,886.2952884295235,277.9647734901129
mps-uncap,0.8,959.9190723229857,1010.576941360336,322.6997035176799
mig,0.8,930.773498724338,1019.2703413990528,321.1279163906193
mps-uncap,0.9,1053.0441875132497,1145.4603104998607,356.6785809339314
mig,0.9,1063.9163786903894,1142.5977428978872,361.5572222704482
mps-uncap,1.0,1170.0722076135366,1191.0972425054936,390.8183635094116
mig,1.0,1159.4616382446127,1276.1239930359468,396.90543606445385
mps-uncap,1.1,1305.436758229155,986.9967077491726,440.65484042214587
mig,1.1,1174.0610218997538,1313.6443316191871,401.0753497765026
mps-uncap,1.2,1389.393792978706,863.0975917188498,473.35755928278684
mig,1.2,1183.2236103797422,1313.9462516965127,402.26464000342594
mps-uncap,1.3,1478.1990735227262,715.0882795309805,520.645758690093
mig,1.3,1178.912117713736,1312.0422081837296,402.4260658931717
