mode,load,0_resnet50-32,1_alexnet-2,2_vgg13-4
mps-uncap,0.6,87.13269233703613,32.125234603881836,36.39626502990723
mig,0.6,216.87912940979004,16.13903045654297,82.73124694824219
mps-uncap,0.7,111.80710792541504,46.49019241333008,34.766197204589844
mig,0.7,240.8771514892578,20.443439483642578,104.75444793701172
mps-uncap,0.8,134.83953475952148,118.37577819824219,47.36828804016113
mig,0.8,275.82693099975586,27.585983276367188,180.29212951660156
mps-uncap,0.9,178.52425575256348,259.30070877075195,41.50128364562988
mig,0.9,665.5426025390625,35.99953651428223,305.30858039855957
mps-uncap,1.0,339.0967845916748,6935.748815536499,75.54125785827637
mig,1.0,1169.75998878479,254.08339500427246,967.8220748901367
mps-uncap,1.1,431.1103820800781,26607.73730278015,79.53929901123047
mig,1.1,7843.638181686401,5189.198732376099,7235.725402832031
mps-uncap,1.2,576.4157772064209,40163.00177574158,127.81977653503418
mig,1.2,15489.352464675903,11427.249193191528,15417.591333389282
mps-uncap,1.3,1177.931547164917,51629.07338142395,166.53013229370117
mig,1.3,23558.119773864746,18255.005836486816,20277.686595916748
