mode,load,0_resnet50-32,1_alexnet-2,2_vgg13-4
mps-uncap,0.6,0.013589859008789062,0.010728836059570312,0.012636184692382812
mig,0.6,0.013113021850585938,0.010728836059570312,0.010967254638671875
mps-uncap,0.7,0.013589859008789062,0.010013580322265625,0.012636184692382812
mig,0.7,0.014066696166992188,0.01049041748046875,0.013113021850585938
mps-uncap,0.8,0.0133514404296875,0.01049041748046875,0.010967254638671875
mig,0.8,0.013828277587890625,0.010728836059570312,0.012874603271484375
mps-uncap,0.9,0.0133514404296875,0.01049041748046875,0.010967254638671875
mig,0.9,0.01430511474609375,0.010728836059570312,0.013113021850585938
mps-uncap,1.0,0.012159347534179688,0.013113021850585938,0.011444091796875
mig,1.0,0.0152587890625,0.011444091796875,0.0133514404296875
mps-uncap,1.1,0.013828277587890625,0.012636184692382812,0.011205673217773438
mig,1.1,0.014066696166992188,0.012636184692382812,0.013828277587890625
mps-uncap,1.2,0.01430511474609375,0.012874603271484375,0.010728836059570312
mig,1.2,0.023603439331054688,0.0133514404296875,0.014543533325195312
mps-uncap,1.3,0.01430511474609375,0.012636184692382812,0.011444091796875
mig,1.3,0.017881393432617188,0.0133514404296875,0.013828277587890625
