mode,load,0_resnet50-32,1_alexnet-2,2_vgg13-4
mps-uncap,0.6,18.874764442443848,4.582786560058597,3.779149055480959
mig,0.6,61.24894618988037,3.01499366760254,20.123672485351562
mps-uncap,0.7,25.431799888610865,8.433413505554206,5.101251602172851
mig,0.7,90.17529487609866,4.089593887329102,30.10544776916504
mps-uncap,0.8,32.81753063201905,29.225039482116703,7.6109409332275435
mig,0.8,113.93699645996097,6.2422275543212935,48.825740814208984
mps-uncap,0.9,44.281721115112305,134.23824310302737,9.451723098754883
mig,0.9,292.6793098449708,11.008572578430176,116.18626117706299
mps-uncap,1.0,74.17716979980472,6593.939208984375,12.9664421081543
mig,1.0,850.1035690307617,88.37556838989258,641.7047500610354
mps-uncap,1.1,128.71990203857425,24027.772569656372,20.56543827056886
mig,1.1,6696.063041687012,4665.294289588928,6626.357984542847
mps-uncap,1.2,290.18473625183105,36329.48713302612,36.191582679748535
mig,1.2,14348.817348480225,10365.237474441528,13910.943031311035
mps-uncap,1.3,785.2768898010254,46078.846502304084,62.20507621765137
mig,1.3,20503.026986122135,16276.177883148193,18328.34665775299
