mode,load,0_resnet50-32,1_alexnet-2,2_vgg13-4
mps-uncap,0.6,19.464731216430664,1.6772747039794922,3.8895606994628906
mig,0.6,38.08856010437012,1.9881725311279297,13.136148452758789
mps-uncap,0.7,20.97177505493164,2.190113067626953,5.066275596618652
mig,0.7,49.04651641845703,2.392292022705078,16.600847244262695
mps-uncap,0.8,23.011326789855957,5.654096603393555,6.036281585693359
mig,0.8,58.013916015625,2.9664039611816406,22.177934646606445
mps-uncap,0.9,28.210878372192383,27.356863021850586,6.891489028930664
mig,0.9,105.53741455078125,4.768848419189453,42.046308517456055
mps-uncap,1.0,34.44242477416992,5121.321439743042,8.295059204101562
mig,1.0,388.35597038269043,29.685258865356445,362.02895641326904
mps-uncap,1.1,51.425933837890625,12890.013337135315,10.38050651550293
mig,1.1,4073.3636617660522,2468.914747238159,2799.011468887329
mps-uncap,1.2,90.24333953857422,20426.336407661438,13.577818870544434
mig,1.2,7521.844387054443,5628.750801086426,7351.146459579468
mps-uncap,1.3,336.1785411834717,25078.251600265503,23.84638786315918
mig,1.3,11266.753673553467,8846.23670578003,10321.489214897156
