mode,load,0_resnet50-32,1_alexnet-2,2_vgg13-4
mps-uncap,0.6,17.09127426147461,1.1670589447021484,3.4340620040893555
mig,0.6,26.195287704467773,1.4605522155761719,9.709835052490234
mps-uncap,0.7,17.51387119293213,1.1670589447021484,3.720879554748535
mig,0.7,26.18122100830078,1.4612674713134766,9.713172912597656
mps-uncap,0.8,18.016934394836426,1.2375116348266602,4.727363586425781
mig,0.8,26.298999786376953,1.4660358428955078,9.74273681640625
mps-uncap,0.9,18.82648468017578,1.2543201446533203,5.222320556640625
mig,0.9,26.476144790649414,1.4731884002685547,9.801864624023438
mps-uncap,1.0,19.47963237762451,1.3477802276611328,5.576372146606445
mig,1.0,26.630401611328125,1.4867782592773438,9.849071502685547
mps-uncap,1.1,20.498991012573242,1.7898082733154297,5.8765411376953125
mig,1.1,26.702404022216797,1.4870166778564453,9.867429733276367
mps-uncap,1.2,21.2862491607666,2.193450927734375,6.055951118469238
mig,1.2,26.688098907470703,1.4891624450683594,9.868144989013672
mps-uncap,1.3,21.713972091674805,2.633810043334961,6.175041198730469
mig,1.3,26.67832374572754,1.489877700805664,9.859323501586914
