mode,load,0_resnet50-32,1_alexnet-2,2_vgg13-4
mps-uncap,0.6,72.43800163269043,30.680179595947266,29.05583381652832
mig,0.6,190.9644603729248,14.630794525146484,73.06623458862305
mps-uncap,0.7,91.78662300109863,45.02224922180176,29.135704040527344
mig,0.7,212.41092681884766,18.998146057128906,94.93088722229004
mps-uncap,0.8,117.39635467529297,117.64717102050781,41.41426086425781
mig,0.8,249.85456466674805,26.121139526367188,170.52197456359863
mps-uncap,0.9,158.7669849395752,257.4732303619385,36.43012046813965
mig,0.9,638.7026309967041,34.528255462646484,295.59826850891113
mps-uncap,1.0,323.35376739501953,6934.3321323394775,69.53573226928711
mig,1.0,1143.2476043701172,252.61306762695312,957.930326461792
mps-uncap,1.1,409.38568115234375,26589.131355285645,74.03564453125
mig,1.1,7814.316034317017,5187.708854675293,7225.340843200684
mps-uncap,1.2,556.8890571594238,40142.223596572876,121.48261070251465
mig,1.2,15462.767601013184,11419.050693511963,15407.69076347351
mps-uncap,1.3,1155.4360389709473,51608.29401016235,159.53469276428223
mig,1.3,23531.354904174805,18238.268852233887,20267.799854278564
