mode,load,0_mobilenet_v3_small-2,1_resnet50-16,2_squeezenet1_0-4
mps-uncap,0.8,394.7019133103693,1543.4211864711385,1032.3400409299466
mps-uncap,0.9,407.2498950687599,1714.002329897201,1151.6826211601663
mps-uncap,1.0,394.7968145371494,1780.5588648523121,1202.0573659235654
mps-uncap,0.5,242.37147546371287,964.4788095558492,648.3721551252848
mps-uncap,0.6,289.3405387790133,1154.7822129537342,776.3871734396112
mps-uncap,0.7,339.0405820355822,1350.1878282781474,919.8508960700478
mps-uncap,0.1,49.830836447416026,195.92333209045415,126.51361683792706
mps-uncap,0.2,99.37345693071896,392.77834142137584,252.60618779934737
mps-uncap,0.3,143.1895194305265,608.6106691586508,389.19562965038887
mps-uncap,0.4,195.62352226913052,793.0187184408115,526.5320174407626
