mode,load,0_mobilenet_v3_small-2,1_resnet50-16,2_squeezenet1_0-4
mps-uncap,0.8,4.511475563049316,8.783817291259766,2.83050537109375
mps-uncap,0.9,4.829883575439453,9.391546249389648,2.516508102416992
mps-uncap,1.0,5.081892013549805,8.961677551269531,2.944350242614746
mps-uncap,0.5,4.333376884460449,8.415937423706055,2.386927604675293
mps-uncap,0.6,4.406929016113281,8.660435676574707,2.334475517272949
mps-uncap,0.7,4.326105117797852,8.584737777709961,2.674102783203125
mps-uncap,0.1,8.946537971496582,10.892152786254883,3.943800926208496
mps-uncap,0.2,7.474184036254883,9.940862655639648,3.849029541015625
mps-uncap,0.3,5.532383918762207,8.83030891418457,3.1087398529052734
mps-uncap,0.4,4.506230354309082,8.591771125793457,2.775430679321289
