mode,load,0_efficientnet_b6-32,1_mobilenet_v2-32,2_mobilenet_v3_large-16
mps-uncap,0.8,365.081787109375,227.75936126708984,121.85978889465332
mps-uncap,0.9,1088.397741317749,216.00937843322754,163.44690322875977
mps-uncap,1.0,1836.3232612609863,831.6106796264648,771.6012001037598
mps-uncap,0.5,124.07708168029785,56.53047561645508,39.4282341003418
mps-uncap,0.6,201.80177688598633,59.52882766723633,75.0434398651123
mps-uncap,0.7,177.64711380004883,91.55750274658203,64.03589248657227
mps-uncap,0.1,30.561447143554688,8.353233337402344,9.244918823242188
mps-uncap,0.2,55.59730529785156,16.94941520690918,15.782594680786133
mps-uncap,0.3,66.90311431884766,27.24432945251465,24.477481842041016
mps-uncap,0.4,97.55706787109375,27.0688533782959,23.100852966308594
