mode,load,0_efficientnet_b6-32,1_mobilenet_v2-32,2_mobilenet_v3_large-16
mps-uncap,0.8,36.26894950866699,5.522012710571289,2.8247833251953125
mps-uncap,0.9,36.05055809020996,5.504369735717773,2.8333663940429688
mps-uncap,1.0,36.03243827819824,5.515336990356445,2.7997493743896484
mps-uncap,0.5,35.74490547180176,5.501031875610352,2.8123855590820312
mps-uncap,0.6,35.762786865234375,5.50389289855957,2.8183460235595703
mps-uncap,0.7,35.64310073852539,5.496978759765625,2.8018951416015625
mps-uncap,0.1,35.836219787597656,5.515575408935547,2.857208251953125
mps-uncap,0.2,35.78615188598633,5.539178848266602,2.842426300048828
mps-uncap,0.3,35.691261291503906,5.506038665771484,2.8467178344726562
mps-uncap,0.4,35.780906677246094,5.51152229309082,2.842426300048828
