mode,load,0_efficientnet_b6-32,1_mobilenet_v2-32,2_mobilenet_v3_large-16
mps-uncap,0.8,398.5922503471374,183.78815650939947,94.88996028900142
mps-uncap,0.9,1082.5612545013428,174.71810817718486,134.06924247741694
mps-uncap,1.0,1773.0892920494084,803.3077239990234,710.9906673431396
mps-uncap,0.5,124.58983659744257,36.862523555755615,31.66684150695802
mps-uncap,0.6,192.28113174438477,46.20714187622072,41.939678192138665
mps-uncap,0.7,173.81806850433347,63.87458324432375,49.28722381591797
mps-uncap,0.1,56.981649398803626,16.50780439376831,13.727970123291016
mps-uncap,0.2,79.68515872955317,21.269481182098396,17.604854106903105
mps-uncap,0.3,83.79112482070929,24.03177499771118,23.03483486175536
mps-uncap,0.4,132.66491889953616,29.0019416809082,24.458332061767575
