mode,load,0_efficientnet_b6-32,1_mobilenet_v2-32,2_mobilenet_v3_large-16
mps-uncap,0.8,36.71836853027344,5.533933639526367,2.848386764526367
mps-uncap,0.9,39.18766975402832,5.524158477783203,2.8569698333740234
mps-uncap,1.0,46.683311462402344,5.5294036865234375,2.854585647583008
mps-uncap,0.5,35.85171699523926,5.516767501831055,2.8243064880371094
mps-uncap,0.6,35.791635513305664,5.517005920410156,2.839803695678711
mps-uncap,0.7,35.7661247253418,5.516767501831055,2.833843231201172
mps-uncap,0.1,35.86101531982422,5.528926849365234,2.869844436645508
mps-uncap,0.2,35.83240509033203,5.5561065673828125,2.8536319732666016
mps-uncap,0.3,35.73799133300781,5.522727966308594,2.9671192169189453
mps-uncap,0.4,35.808563232421875,5.527496337890625,2.8536319732666016
