mode,load,0_efficientnet_b6-32,1_mobilenet_v2-32,2_mobilenet_v3_large-16
mps-uncap,0.8,0.016927719116210938,0.008821487426757812,0.011444091796875
mps-uncap,0.9,0.01621246337890625,0.010728836059570312,0.010967254638671875
mps-uncap,1.0,0.024557113647460938,0.01049041748046875,0.011682510375976562
mps-uncap,0.5,0.01430511474609375,0.010967254638671875,0.011205673217773438
mps-uncap,0.6,0.01430511474609375,0.010013580322265625,0.010013580322265625
mps-uncap,0.7,0.015974044799804688,0.01049041748046875,0.011205673217773438
mps-uncap,0.1,0.0247955322265625,0.012159347534179688,0.012636184692382812
mps-uncap,0.2,0.024318695068359375,0.011682510375976562,0.011205673217773438
mps-uncap,0.3,0.016927719116210938,0.011205673217773438,0.011920928955078125
mps-uncap,0.4,0.013589859008789062,0.011444091796875,0.00858306884765625
