mode,load,0_efficientnet_b6-32,1_mobilenet_v2-32,2_mobilenet_v3_large-16
mps-uncap,0.8,60.898566246032715,17.431020736694336,16.742277145385746
mps-uncap,0.9,62.25919723510742,18.16256046295166,18.021631240844727
mps-uncap,1.0,63.16468715667725,18.69220733642578,18.62800121307373
mps-uncap,0.5,52.40476131439209,14.559388160705568,13.666963577270508
mps-uncap,0.6,54.92453575134277,15.580415725708008,14.569664001464847
mps-uncap,0.7,58.4416389465332,16.395521163940426,14.937663078308105
mps-uncap,0.1,40.03500938415527,6.741642951965332,7.689762115478516
mps-uncap,0.2,43.76859664916992,10.376763343811035,8.365488052368164
mps-uncap,0.3,47.19841480255127,11.162185668945314,9.430074691772461
mps-uncap,0.4,49.08180236816406,12.768077850341804,12.047290802001953
