mode,load,0_efficientnet_b6-32,1_mobilenet_v2-32,2_mobilenet_v3_large-16
mps-uncap,0.8,63.18437099456788,19.807779788970947,20.196230411529537
mps-uncap,0.9,63.3387565612793,19.991009235382077,20.65964698791504
mps-uncap,1.0,63.574252128601074,20.18546581268311,20.914852619171143
mps-uncap,0.5,57.37318992614745,19.30887222290039,20.41644096374512
mps-uncap,0.6,59.5579719543457,18.41998100280762,20.689053535461426
mps-uncap,0.7,61.16107940673828,19.352450370788574,19.604532718658447
mps-uncap,0.1,44.39458847045898,16.461491584777832,12.824182510375971
mps-uncap,0.2,50.21514892578124,17.396361827850345,16.11778259277344
mps-uncap,0.3,54.17339801788333,17.918722629547126,17.341582775115935
mps-uncap,0.4,55.85474967956544,18.55643272399902,18.108959197998047
