mode,load,0_efficientnet_b6-32,1_mobilenet_v2-32,2_mobilenet_v3_large-16
mps-uncap,0.8,425.6868362426758,246.7057704925537,135.78462600708008
mps-uncap,0.9,1147.5141048431396,234.42339897155762,172.4236011505127
mps-uncap,1.0,1897.4013328552246,847.4948406219482,791.0561561584473
mps-uncap,0.5,169.6476936340332,67.5203800201416,54.88753318786621
mps-uncap,0.6,246.1841106414795,71.00582122802734,84.98954772949219
mps-uncap,0.7,235.2445125579834,103.61504554748535,79.93412017822266
mps-uncap,0.1,70.02139091491699,18.476009368896484,19.49024200439453
mps-uncap,0.2,99.18951988220215,28.11431884765625,23.538589477539062
mps-uncap,0.3,102.80537605285645,33.998727798461914,32.43660926818848
mps-uncap,0.4,150.33721923828125,40.89927673339844,34.583091735839844
